"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-02-28,"boulder",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,6.80953578578579
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,1.07652652652653
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,1.49095695695696
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,2.19953553553554
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,3.32495245245245
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,4.1
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,4.85724974974975
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,5.78572172172172
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,6.68626776776776
2026-02-28,"boulder",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,7.05012462462463
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,0.896749999999999
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,2.0495
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,2.79601801801802
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,3.26
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,3.36
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,3.46
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.9,3.92398198198198
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.95,4.6705
2026-02-28,"charleston",0,"Flu ED visits pct",2026-02-28,"quantile",0.975,5.82325
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.025,0.341446696696697
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.05,1.03259009009009
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.1,2.15176276276276
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.25,3.11280780780781
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.5,3.36
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.75,3.66022272272272
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.9,4.56089289289289
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.95,5.91921271271271
2026-02-28,"charleston",1,"Flu ED visits pct",2026-03-07,"quantile",0.975,6.37650950950951
